epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.394,0.76809,2.89272,1.03231,0.00333,1,0.995,0.98626,0.22835,2.82941,0.82528,8e-05,8e-05,8e-05
2,60.6027,0.42859,1.88368,0.83181,0.00333,1,0.995,0.92855,0.26952,2.58934,0.81246,0.000176436,0.000176436,0.000176436
3,87.8735,0.34176,1.06221,0.82922,1,0.92832,0.995,0.97313,0.28151,2.2375,0.80981,0.000268912,0.000268912,0.000268912
4,116.724,0.37263,0.99794,0.82073,0.98448,1,0.995,0.95817,0.30743,2.27154,0.81492,0.000357428,0.000357428,0.000357428
5,143.862,0.3466,0.84629,0.82626,0.98176,1,0.995,0.90962,0.43029,2.24568,0.83522,0.000441984,0.000441984,0.000441984
6,171.48,0.34689,0.8545,0.82452,1,0.95477,0.995,0.96319,0.30193,2.20017,0.82074,0.00052258,0.00052258,0.00052258
7,199.319,0.32522,0.85495,0.81261,1,0.97598,0.995,0.95731,0.32526,2.04846,0.81741,0.000599216,0.000599216,0.000599216
8,226.256,0.31644,0.82473,0.82905,1,0.96847,0.995,0.93153,0.36605,2.04844,0.82678,0.000671892,0.000671892,0.000671892
9,255.233,0.31957,0.81481,0.83079,1,0.93074,0.995,0.94283,0.31708,1.80468,0.82062,0.000740608,0.000740608,0.000740608
10,283.131,0.36928,0.78137,0.83709,1,0.92416,0.98848,0.94249,0.35745,1.71429,0.82685,0.000805364,0.000805364,0.000805364
11,310.323,0.35396,0.77054,0.80845,1,0.94749,0.98848,0.90447,0.38534,1.42116,0.82636,0.00086616,0.00086616,0.00086616
12,338.101,0.29037,0.74828,0.82247,0.99418,0.9,0.98591,0.87694,0.39571,1.30764,0.82929,0.000922996,0.000922996,0.000922996
13,367.278,0.40384,0.77817,0.83081,0.9906,0.9,0.97818,0.9014,0.35479,1.30366,0.82871,0.000975872,0.000975872,0.000975872
14,394.523,0.35851,0.70062,0.83733,0.99289,0.85,0.97722,0.90122,0.35935,1.3364,0.83086,0.00102479,0.00102479,0.00102479
15,422.185,0.29627,0.6655,0.84059,1,0.99609,0.995,0.94628,0.30524,1.06759,0.81615,0.00106974,0.00106974,0.00106974
16,449.382,0.32084,0.65935,0.80529,1,0.99026,0.995,0.91688,0.37715,1.05473,0.83703,0.00111074,0.00111074,0.00111074
17,476.919,0.33465,0.6315,0.83156,0.99537,1,0.995,0.9216,0.36919,0.99593,0.83019,0.00114778,0.00114778,0.00114778
18,504.286,0.31648,0.65106,0.83039,0.99999,1,0.995,0.92967,0.34463,0.96234,0.82082,0.00118085,0.00118085,0.00118085
19,531.974,0.32915,0.64779,0.85006,0.99685,1,0.995,0.93127,0.31603,0.95116,0.81589,0.00120997,0.00120997,0.00120997
20,559.558,0.29245,0.66192,0.85224,0.99656,1,0.995,0.97219,0.26873,0.8763,0.81518,0.00123512,0.00123512,0.00123512
21,586.838,0.30123,0.62564,0.83391,0.99618,1,0.995,0.96892,0.27456,0.86428,0.81552,0.001208,0.001208,0.001208
22,614.391,0.27543,0.62455,0.84426,0.99678,1,0.995,0.95378,0.27466,0.83578,0.81916,0.0011684,0.0011684,0.0011684
