epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4634,4.03224,4.40344,5.26862,0,0,0,0,5.45256,13.6348,4.50104,0,0,0
2,21.3508,4.13196,4.55969,4.7209,0,0,0,0,5.41973,11.2262,4.38282,1.9604e-05,1.9604e-05,1.9604e-05
3,31.934,3.86041,3.99239,3.80971,0,0,0,0,5.13784,9.11425,4.20555,3.8416e-05,3.8416e-05,3.8416e-05
4,41.5737,3.85729,2.50581,4.20887,0,0,0,0,5.00763,7.5666,4.03097,5.6436e-05,5.6436e-05,5.6436e-05
5,51.1042,3.43828,2.84399,2.96556,0,0,0,0,4.8447,6.13862,3.75713,7.3664e-05,7.3664e-05,7.3664e-05
6,60.667,3.23695,2.87359,2.99619,0,0,0,0,4.76049,6.15735,3.68059,9.01e-05,9.01e-05,9.01e-05
7,70.44,2.70486,2.97231,2.24352,0,0,0,0,4.71255,6.01936,3.83431,0.000105744,0.000105744,0.000105744
8,80.1909,2.53515,2.6382,2.14587,0,0,0,0,4.62461,6.32783,3.86484,0.000120596,0.000120596,0.000120596
9,90.0693,2.18001,2.81406,2.06519,0,0,0,0,4.62461,6.32783,3.86484,0.000134656,0.000134656,0.000134656
10,100.699,2.18439,3.01082,2.04196,0,0,0,0,4.90481,6.35834,4.015,0.000147924,0.000147924,0.000147924
11,110.797,2.33001,3.18835,2.14795,0,0,0,0,4.90481,6.35834,4.015,0.0001604,0.0001604,0.0001604
12,121.243,2.26515,2.92942,2.0179,0,0,0,0,4.31055,5.91743,3.60654,0.000172084,0.000172084,0.000172084
13,132.84,2.43555,1.8277,1.76518,0,0,0,0,4.31055,5.91743,3.60654,0.000182976,0.000182976,0.000182976
14,145.276,2.15921,2.3849,1.92779,0,0,0,0,3.26988,6.1967,3.25361,0.000193076,0.000193076,0.000193076
15,156.63,2.01262,2.15952,1.93204,0,0,0,0,3.26988,6.1967,3.25361,0.000202384,0.000202384,0.000202384
16,167.828,1.43848,1.69437,1.53138,0.0988,1,0.12437,0.03585,2.50398,6.0817,2.56126,0.0002109,0.0002109,0.0002109
17,178.032,1.78889,2.20734,1.93655,0.0988,1,0.12437,0.03585,2.50398,6.0817,2.56126,0.000218624,0.000218624,0.000218624
18,188.738,1.21503,1.50995,1.44348,0.15057,1,0.16583,0.04975,2.566,3.23854,2.57208,0.000225556,0.000225556,0.000225556
19,199.965,1.74244,1.46454,1.59075,0.15057,1,0.16583,0.04975,2.566,3.23854,2.57208,0.000231696,0.000231696,0.000231696
20,213.486,1.62275,1.74403,1.57838,0.22543,1,0.24875,0.12437,2.46909,3.84267,2.59836,0.000237044,0.000237044,0.000237044
21,225.807,2.01058,2.25614,1.94112,0.22543,1,0.24875,0.12437,2.46909,3.84267,2.59836,0.0002416,0.0002416,0.0002416
22,238.672,1.84498,3.2912,2.09033,0.29686,1,0.33167,0.10025,2.27478,15.4932,2.46599,0.000245364,0.000245364,0.000245364
23,250.092,1.51438,1.6041,1.54599,0.29686,1,0.33167,0.10025,2.27478,15.4932,2.46599,0.000248336,0.000248336,0.000248336
24,263.143,1.28258,1.84126,1.50785,0.29686,1,0.33167,0.10025,2.27478,15.4932,2.46599,0.000250516,0.000250516,0.000250516
25,273.859,1.63764,1.88607,1.70984,0.46867,1,0.4975,0.15024,2.24521,9.03804,2.44376,0.000251904,0.000251904,0.000251904
26,283.764,1.3682,1.67711,1.56348,0.46867,1,0.4975,0.15024,2.24521,9.03804,2.44376,0.0002525,0.0002525,0.0002525
27,293.939,1.26559,1.36642,1.54131,0.46867,1,0.4975,0.15024,2.24521,9.03804,2.44376,0.000252304,0.000252304,0.000252304
28,305.507,1.49508,1.4148,1.50493,0.17534,1,0.24875,0.07462,2.54028,4.03475,2.53085,0.000251316,0.000251316,0.000251316
29,316.917,1.07071,1.83225,1.37903,0.17534,1,0.24875,0.07462,2.54028,4.03475,2.53085,0.000249536,0.000249536,0.000249536
30,329.497,1.40374,1.33614,1.54412,0.17534,1,0.24875,0.07462,2.54028,4.03475,2.53085,0.000246964,0.000246964,0.000246964
31,342.163,1.13618,1.34682,1.30714,0.12671,1,0.14214,0.02931,2.98995,4.99704,2.72414,0.0002436,0.0002436,0.0002436
32,352.454,1.28159,1.35339,1.48321,0.12671,1,0.14214,0.02931,2.98995,4.99704,2.72414,0.000239444,0.000239444,0.000239444
33,362.135,1.46447,1.26912,1.41727,0.12671,1,0.14214,0.02931,2.98995,4.99704,2.72414,0.000234496,0.000234496,0.000234496
34,372.295,1.37308,1.38361,1.36211,0.07895,1,0.09045,0.01215,3.21393,14.7451,3.02847,0.000228756,0.000228756,0.000228756
35,381.255,1.29492,1.21828,1.43733,0.07895,1,0.09045,0.01215,3.21393,14.7451,3.02847,0.000222224,0.000222224,0.000222224
36,391.055,1.09489,1.29419,1.44271,0.07895,1,0.09045,0.01215,3.21393,14.7451,3.02847,0.0002149,0.0002149,0.0002149
37,402.381,1.17839,1.55081,1.33072,0.07895,1,0.09045,0.01215,3.21393,14.7451,3.02847,0.000206784,0.000206784,0.000206784
38,413.118,1.319,1.85604,1.27841,0,0,0,0,4.00878,9.34139,3.58953,0.000197876,0.000197876,0.000197876
39,423.429,1.20564,1.2185,1.30809,0,0,0,0,4.00878,9.34139,3.58953,0.000188176,0.000188176,0.000188176
40,434.556,1.19902,1.13169,1.47652,0,0,0,0,4.00878,9.34139,3.58953,0.000177684,0.000177684,0.000177684
41,445.833,1.40397,1.5682,1.56168,0,0,0,0,4.00878,9.34139,3.58953,0.0001664,0.0001664,0.0001664
42,456.524,1.29886,1.62994,1.62208,0.00333,1,0.01531,0.00153,3.30449,6.6425,3.01643,0.000154324,0.000154324,0.000154324
